file_name,file_path,absolute_path,duration,transcription,speaker_id,speaker_name,original_cer,original_transcript,utmos
BAC009S0005W0340,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0340.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0340.wav,3.5,看着 王 治国 现在 的 身材,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.1,看着王志国现在的身材,3.021775722503662
BAC009S0005W0274,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0274.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0274.wav,3.35,并 在 上海 之外 管理 着 多 个展 馆,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.0,并在上海之外管理着多个展馆,3.135443925857544
BAC009S0005W0317,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0317.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0317.wav,3.481,分别 打开 三 款 停车 神 器 查询,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.0,分别打开三款停车神器查询,3.1290013790130615
BAC009S0005W0374,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0374.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0374.wav,3.069,他 每天 都 要 出去 跑 上一 个 小时,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.0,他每天都要出去跑上一个小时,3.033451557159424
BAC009S0005W0210,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0210.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0210.wav,3.107,加强 干部 职工 的 沟通 交流,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.0,加强干部职工的沟通交流,3.049379348754883
BAC009S0005W0465,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0465.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0465.wav,3.266,到 车管 所 给 驾照 车 审,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.0,到车管所给驾照车审,3.037351608276367
BAC009S0005W0125,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0125.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0005/BAC009S0005W0125.wav,3.052,当下 并 没 有来 到 青铜 时代,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380,S0005,0.0,当下并没有来到青铜时代,3.136899709701538
BAC009S0006W0306,./aishell/data_aishell/wav/train/S0006/BAC009S0006W0306.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0006/BAC009S0006W0306.wav,3.183,它 并 不 是 什么 新 技术,e2cc23fc278b9ea5a33c3a8fea63eb469477690ec6fcf0c1d0bed22462e5d6bc,S0006,0.0,它并不是什么新技术,3.0104641914367676
BAC009S0008W0229,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0229.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0008/BAC009S0008W0229.wav,3.727,亦强 调 了 调控 性 资本 要求,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a,S0008,0.0,亦强调了调控性资本要求,3.053344964981079
BAC009S0008W0340,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0340.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0008/BAC009S0008W0340.wav,4.344,苏 炳添 则 将 率先 冲击 决赛 资格,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a,S0008,0.07692307692307693,苏炳天则将率先冲击决赛资格,3.0031440258026123
BAC009S0008W0211,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0211.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0008/BAC009S0008W0211.wav,6.23,发布 了 偿 二 代 监管 规则 征求 意见 稿 公开 征求 意见,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a,S0008,0.047619047619047616,发布了长二代监管规则征求意见稿公开征求意见,3.0201871395111084
BAC009S0008W0301,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0301.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0008/BAC009S0008W0301.wav,4.19,为 的 是 向 人们 介绍 一 种 全新 的 系统,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a,S0008,0.0,为的是向人们介绍一种全新的系统,3.121793031692505
BAC009S0008W0366,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0366.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0008/BAC009S0008W0366.wav,3.011,今天 将 出 的 五枚 金牌,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a,S0008,0.0,今天将出的五枚金牌,3.1556649208068848
BAC009S0008W0477,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0477.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0008/BAC009S0008W0477.wav,3.092,将 危险 中 的 男孩 救起,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a,S0008,0.0,将危险中的男孩救起,3.063420057296753
BAC009S0009W0460,./aishell/data_aishell/wav/train/S0009/BAC009S0009W0460.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0009/BAC009S0009W0460.wav,3.326,并 慷慨 地 为其 买房 买车,d19d36513fc35304c8e58fb544c472b964fa48afc00eeb9e71bc878f77952c70,S0009,0.1,并慷慨的为其买房买车,3.023379325866699
BAC009S0009W0440,./aishell/data_aishell/wav/train/S0009/BAC009S0009W0440.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0009/BAC009S0009W0440.wav,3.764,哪 怕 民警 掏出 手枪 给 他 看,d19d36513fc35304c8e58fb544c472b964fa48afc00eeb9e71bc878f77952c70,S0009,0.0,哪怕民警掏出手枪给他看,3.0358402729034424
BAC009S0011W0123,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0123.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0123.wav,3.416,绿城 项目 的 规划 设计 水平 很高,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,绿城项目的规划设计水平很高,3.0040338039398193
BAC009S0011W0299,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0299.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0299.wav,3.674,将 电池 的 位置 设计 在 颈部 位置,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,将电池的位置设计在颈部位置,3.2541027069091797
BAC009S0011W0415,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0415.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0415.wav,3.931,推出 过 红酒 和亲 自 设计 的 手表 等,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,推出过红酒和亲自设计的手表等,3.0133326053619385
BAC009S0011W0140,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0140.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0140.wav,3.581,该 模式 被 大部 分开 发 商 所 接受,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,该模式被大部分开发商所接受,3.013845920562744
BAC009S0011W0222,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0222.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0222.wav,4.506,要 给 受损 中小 投资 者 成倍 补偿,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,要给受损中小投资者成倍补偿,3.0819637775421143
BAC009S0011W0181,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0181.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0181.wav,4.208,现在 是 带领 大众 一 起 投资 一 起 赚钱,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,现在是带领大众一起投资一起赚钱,3.1235740184783936
BAC009S0011W0143,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0143.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0143.wav,4.168,在全 成都 范围 内 复制 输出,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,在全成都范围内复制输出,3.0321950912475586
BAC009S0011W0173,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0173.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0173.wav,3.118,类似 于 私募 股权 投资,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,类似于私募股权投资,3.102184534072876
BAC009S0011W0328,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0328.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0328.wav,3.354,在 整容 技术 如此 发达 的 今天,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,在整容技术如此发达的今天,3.1804745197296143
BAC009S0011W0153,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0153.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0153.wav,3.292,这 一模 式 较 完整 的 表述 应 为,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.08333333333333333,这一模式较完整的表述音为,3.148749828338623
BAC009S0011W0144,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0144.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0144.wav,3.118,房地 产 被 认为 是 传统 行业,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,房地产被认为是传统行业,3.0162415504455566
BAC009S0011W0495,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0495.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0495.wav,4.425,多次 在 益阳 市区 政府 机关 行骗,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,多次在益阳市区政府机关行骗,3.227598190307617
BAC009S0011W0367,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0367.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0367.wav,3.704,哈桑 与 迪巴 巴 竞争 激烈,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.1,哈萨与迪巴巴竞争激烈,3.130688428878784
BAC009S0011W0211,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0211.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0211.wav,3.241,这种 行为 又 算 不 算 非法 获取,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,这种行为又算不算非法获取,3.015690326690674
BAC009S0011W0336,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0336.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0336.wav,4.322,每 一 个 百分点 的 提升 都 比 以往 更加 困难,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,每一个百分点的提升都比以往更加困难,3.0801775455474854
BAC009S0011W0223,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0223.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0223.wav,3.869,中国 对内 幕 交易 的 惩罚 一向 比较 轻,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,中国对内幕交易的惩罚一向比较轻,3.151890277862549
BAC009S0011W0131,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0131.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0131.wav,3.457,企业 想要 做到 轻 资产 化,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,企业想要做到轻资产化,3.0668673515319824
BAC009S0011W0130,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0130.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0130.wav,4.569,不 少 企业 开始 尝试 向 轻 资产 模式 转型,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,不少企业开始尝试向轻资产模式转型,3.037679433822632
BAC009S0011W0244,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0244.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0244.wav,3.9,必将 受到 监督 部门 的 严肃 查处,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,必将受到监督部门的严肃查处,3.0755693912506104
BAC009S0011W0490,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0490.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0490.wav,3.261,她 在 睡梦 中听 到 了 一声 闷 响,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.08333333333333333,他在睡梦中听到了一声闷响,3.220510244369507
BAC009S0011W0254,./aishell/data_aishell/wav/train/S0011/BAC009S0011W0254.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0011/BAC009S0011W0254.wav,3.282,除了 升级 到 不锈钢 金属 之外,39cb1634b88d41d0e98cbf11743b33344bd28f042b03fac3c37617fc1b7867e9,S0011,0.0,除了升级到不锈钢金属之外,3.1744637489318848
BAC009S0012W0125,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0125.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0125.wav,4.468,应当 积极 推行 货币 化安 置 方式,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.0,应当积极推行货币化安置方式,3.189333438873291
BAC009S0012W0145,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0145.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0145.wav,4.155,促进 房地 产 市场 健康 有 序 发展,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.0,促进房地产市场健康有序发展,3.0105719566345215
BAC009S0012W0123,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0123.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0123.wav,3.905,包括 实物 安置 和 货币 安置 计划,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.07692307692307693,包括食物安置和货币安置计划,3.0844578742980957
BAC009S0012W0136,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0136.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0136.wav,3.208,新京 报 记者 统计 发现,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.0,新京报记者统计发现,3.2020034790039062
BAC009S0012W0121,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0121.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0121.wav,3.874,你 还 囤 着 车库 商铺 慢慢 卖 吗,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.0,你还囤着车库商铺慢慢卖吗,3.2792465686798096
BAC009S0012W0152,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0152.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0152.wav,5.336,地方 政府 也 在 跟进 中央 步调,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.0,地方政府也在跟进中央步调,3.1760315895080566
BAC009S0012W0162,./aishell/data_aishell/wav/train/S0012/BAC009S0012W0162.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0012/BAC009S0012W0162.wav,4.253,促进 房地 产业 持续 健康 发展,5dbda70e7144d3ae9fbed86df20f1e8a7a6d86cc6d53d25cf29b4eebc5e9dde1,S0012,0.0,促进房地产业持续健康发展,3.1061654090881348
BAC009S0014W0209,./aishell/data_aishell/wav/train/S0014/BAC009S0014W0209.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0014/BAC009S0014W0209.wav,5.271,单位 减排 不 力 被 挂牌 督办,fa3e46e19d6d0375b0255cebb22edb6fd8eb93b27f79ae601085dd3048eb92a9,S0014,0.09090909090909091,单位减排不利被挂牌督办,3.012899398803711
BAC009S0015W0277,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0277.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0277.wav,3.393,据 华尔 街 日报 网站 报道,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,据华尔街日报网站报道,3.0976409912109375
BAC009S0015W0405,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0405.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0405.wav,6.6,亲自 上阵 连拍 八 遍 影片 中 最 惊险 的 徒手 扒 飞机 场面,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.045454545454545456,亲自上阵连拍8遍影片中最惊险的徒手扒飞机场面,3.10941481590271
BAC009S0015W0484,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0484.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0484.wav,3.627,他 连连 摆手 你们 别 采访 我,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,他连连摆手你们别采访我,3.1474249362945557
BAC009S0015W0422,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0422.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0422.wav,3.253,头发 也 被 整齐 的 梳 起,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.1111111111111111,头发也被整齐地梳起,3.1176180839538574
BAC009S0015W0157,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0157.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0157.wav,3.184,就 是 千军 万马 闹 家装,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.1111111111111111,就是千军万马闹家庄,3.120683193206787
BAC009S0015W0485,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0485.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0485.wav,3.176,你 看 我 现在 正在 上班,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,你看我现在正在上班,3.2371633052825928
BAC009S0015W0324,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0324.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0324.wav,3.284,汽车 厂 里 的 喷涂 工序,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,汽车厂里的喷涂工序,3.0089662075042725
BAC009S0015W0445,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0445.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0445.wav,3.108,扔 东西 的 男子 住 七 楼,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,扔东西的男子住七楼,3.1211512088775635
BAC009S0015W0335,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0335.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0335.wav,3.15,随着 经济 的 高速 发展,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,随着经济的高速发展,3.3048229217529297
BAC009S0015W0333,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0333.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0333.wav,3.585,迅速 扩大 了 生产 的 规模,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,迅速扩大了生产的规模,3.524016857147217
BAC009S0015W0382,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0382.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0382.wav,4.642,这 让 这 枚 金牌 的 归属 充满 了 悬念,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,这让这枚金牌的归属充满了悬念,3.0018956661224365
BAC009S0015W0373,./aishell/data_aishell/wav/train/S0015/BAC009S0015W0373.wav,/mnt/Internal/jieshiang/aishell/data_aishell/wav/train/S0015/BAC009S0015W0373.wav,3.448,麦迪逊 拿到 了 五 个 冠军,2ddcbcfd14c02240edaf61bf958ae45a0215a111a94bf2b0e834efb222729808,S0015,0.0,麦迪逊拿到了五个冠军,3.49783992767334
