file_name,file_path,duration,transcription,speaker_id
BAC009S0005W0340,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0340.wav,3.5,看着 王 治国 现在 的 身材,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0005W0274,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0274.wav,3.35,并 在 上海 之外 管理 着 多 个展 馆,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0005W0317,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0317.wav,3.481,分别 打开 三 款 停车 神 器 查询,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0005W0374,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0374.wav,3.069,他 每天 都 要 出去 跑 上一 个 小时,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0005W0210,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0210.wav,3.107,加强 干部 职工 的 沟通 交流,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0005W0465,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0465.wav,3.266,到 车管 所 给 驾照 车 审,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0005W0125,./aishell/data_aishell/wav/train/S0005/BAC009S0005W0125.wav,3.052,当下 并 没 有来 到 青铜 时代,aca084dc03ba6e31e18b6e674df3628eb9cbb6b307de195cf8ea882a7af8e380
BAC009S0006W0306,./aishell/data_aishell/wav/train/S0006/BAC009S0006W0306.wav,3.183,它 并 不 是 什么 新 技术,e2cc23fc278b9ea5a33c3a8fea63eb469477690ec6fcf0c1d0bed22462e5d6bc
BAC009S0008W0229,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0229.wav,3.727,亦强 调 了 调控 性 资本 要求,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a
BAC009S0008W0340,./aishell/data_aishell/wav/train/S0008/BAC009S0008W0340.wav,4.344,苏 炳添 则 将 率先 冲击 决赛 资格,5e22ba1ac4baac217ae689e7ef641eefc5e76d077c737a340ea9e37367f8b39a
