file_name,file_path,duration,transcription,speaker_id,duration_bin,text_length
8555-284449-0000,./librispeech/LibriSpeech/test-clean/8555/284449/8555-284449-0000.flac,12.04,SO THEY WERE QUITE WILLING TO OBEY THE ORDERS OF THEIR GIRL QUEEN AND IN A SHORT TIME THE BLASTS OF TRUMPETS AND ROLL OF DRUMS AND CLASHING OF CYMBALS TOLD TROT AND CAP'N BILL THAT THE BLUE BANDS HAD ASSEMBLED BEFORE THE PALACE,8555,10+s,227
7176-88083-0019,./librispeech/LibriSpeech/test-clean/7176/88083/7176-88083-0019.flac,5.81,AS HE FLEW HIS DOWN REACHING CLUTCHING TALONS WERE NOT HALF A YARD ABOVE THE FUGITIVE'S HEAD,7176,5-10s,92
2830-3980-0000,./librispeech/LibriSpeech/test-clean/2830/3980/2830-3980-0000.flac,3.73,IN EVERY WAY THEY SOUGHT TO UNDERMINE THE AUTHORITY OF SAINT PAUL,2830,3-4s,65
672-122797-0007,./librispeech/LibriSpeech/test-clean/672/122797/672-122797-0007.flac,6.42,IN AUTUMN THE WOOD CUTTERS ALWAYS CAME AND FELLED SOME OF THE LARGEST TREES,672,5-10s,75
2094-142345-0009,./librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0009.flac,14.405,FOR THE GREAT BARN DOORS ARE THROWN WIDE OPEN AND MEN ARE BUSY THERE MENDING THE HARNESS UNDER THE SUPERINTENDENCE OF MISTER GOBY THE WHITTAW OTHERWISE SADDLER WHO ENTERTAINS THEM WITH THE LATEST TREDDLESTON GOSSIP,2094,10+s,214
6930-75918-0018,./librispeech/LibriSpeech/test-clean/6930/75918/6930-75918-0018.flac,10.81,THE NIGHT WAS CLEAR STARLIT AND SPLENDID THE TEMPEST HAD PASSED AWAY AND THE SWEET INFLUENCES OF THE EVENING HAD RESTORED LIFE PEACE AND SECURITY EVERYWHERE,6930,10+s,156
61-70968-0045,./librispeech/LibriSpeech/test-clean/61/70968/61-70968-0045.flac,3.475,PRAY FOLLOW US WITH MINE AND MY LORD SHERIFF'S MEN,61,3-4s,50
237-134500-0018,./librispeech/LibriSpeech/test-clean/237/134500/237-134500-0018.flac,12.845,HE REACHED UP AMONG THE BRANCHES AND BEGAN TO PICK THE SWEET INSIPID FRUIT LONG IVORY COLORED BERRIES TIPPED WITH FAINT PINK LIKE WHITE CORAL THAT FALL TO THE GROUND UNHEEDED ALL SUMMER THROUGH,237,10+s,193
2094-142345-0023,./librispeech/LibriSpeech/test-clean/2094/142345/2094-142345-0023.flac,5.18,YOU'RE A RARE UN FOR SITTING DOWN TO YOUR WORK A LITTLE WHILE AFTER IT'S TIME TO PUT BY,2094,5-10s,87
3570-5695-0002,./librispeech/LibriSpeech/test-clean/3570/5695/3570-5695-0002.flac,7.805,BUT AS WE DESCEND THE SOCIAL SCALE THE POINT IS PRESENTLY REACHED WHERE THE DUTIES OF VICARIOUS LEISURE AND CONSUMPTION DEVOLVE UPON THE WIFE ALONE,3570,5-10s,147
